material_id,position_id,rack,bay,level,needs_rt,zwm92_picks
03811061N0,B-05-02-L6,B,5,6,1,7
03812736N0,H-04-02-L2,H,4,2,0,84
03814388N0-N,F-11-03-L6,F,11,6,1,2
03814399N0-N,G-09-01-L6,G,9,6,1,3
03814402N0-N,C-09-03-L3,C,9,3,1,10
03815808N0-N,D-05-01-L7,D,5,7,1,2
03815811N0-N,C-06-01-L4,C,6,4,1,3
03815813N0-N,C-06-02-L4,C,6,4,1,4
03816489N0,U-02-01-L6,U,2,6,1,6
03816490N0-N,U-06-01-L3,U,6,3,1,11
03816491N0-N,E-08-01-L4,E,8,4,1,12
03816492N0-N,E-08-02-L4,E,8,4,1,6
03816493N0-N,G-05-01-L7,G,5,7,1,24
03816494N0-N,E-06-03-L3,E,6,3,1,17
03816495N0-N,E-08-03-L4,E,8,4,1,23
03816496N0,C-05-02-L5,C,5,5,1,0
03816496N0-N,F-07-03-L4,F,7,4,1,16
03817244N0,E-07-01-L4,E,7,4,1,1
1022025N,H-07-02-L5,H,7,5,1,0
11845604,J-05-01-L5,J,5,5,1,0
11845606Z,J-08-01-L5,J,8,5,1,0
1277066SNRYC,C-06-02-L6,C,6,6,1,9
1277504,C-01-03-L5,C,1,5,1,13
1350150120,U-09-01-L5,U,9,5,1,0
17422411Z,U-05-02-L5,U,5,5,1,0
17426018,H-02-03-L5,H,2,5,1,0
17426022,J-01-02-L5,J,1,5,1,0
1781757,J-03-01-L5,J,3,5,1,0
1946501,J-01-03-L3,J,1,3,1,16
1949754,I-09-01-L2,I,9,2,0,160
1949764,D-04-03-L2,D,4,2,0,160
1949765,I-09-02-L2,I,9,2,0,160
1949771,J-09-02-L0,J,9,0,0,25
1949773,J-09-03-L0,J,9,0,0,25
1949775,J-09-01-L1,J,9,1,0,25
1949777,F-04-03-L5,F,4,5,1,21
1949779SN,J-03-03-L0,J,3,0,0,72
1949785SN,C-07-03-L3,C,7,3,1,26
1949801,G-05-02-L7,G,5,7,1,16
1949869,G-07-02-L5,G,7,5,1,2
1949870,G-07-03-L5,G,7,5,1,2
